timestamp	step	epoch
1654423527096	0	1.0
1654423533845	1	2.0
1654423540463	2	3.0
1654423546902	3	4.0
1654423553504	4	5.0
1654423560210	5	6.0
1654423567271	6	7.0
1654423574304	7	8.0
1654423574312	8	8.0
